road_id,risk_score,predicted_disruption
way/911820041,20.58,0
way/911820042,20.58,0
way/911820043,20.58,0
way/968413012,41.37,1
way/968413013,32.33,0
way/968413014,41.37,1
way/968413015,41.37,1
way/968956579,33.58,0
way/968956582,55.97,1
way/968956583,45.27,1
way/968959717,28.01,0
way/968959718,27.57,0
way/968959719,29.84,0
way/968959721,32.33,0
way/968963644,27.57,0
way/968963645,37.51,1
way/968963759,5.21,0
way/969132122,34.16,0
way/969538368,27.57,0
way/969538369,44.18,1
way/969540128,29.84,0
way/969680905,38.02,1
way/969680906,38.02,1
way/970251952,29.59,0
way/970251956,5.21,0
way/970251958,32.24,0
way/970251959,41.37,1
way/970251960,42.68,1
way/977963755,28.65,0
way/977963756,28.65,0
way/977963757,30.82,0
way/977963758,32.01,0
way/977963759,32.01,0
way/977963760,32.01,0
way/977963761,33.7,0
way/977963762,33.7,0
way/977963763,24.57,0
way/977963764,33.7,0
way/986827273,24.31,0
way/991928708,18.18,0
way/997400499,77.33,1
way/1000095930,5.21,0
way/1000095932,5.21,0
way/1000095933,6.1,0
way/1000095935,5.21,0
way/1000095937,6.1,0
way/1000095938,6.1,0
way/1013969997,66.69,1
way/1013969998,68.19,1
way/1014551111,74.76,1
way/1024517887,24.57,0
way/1024796518,5.21,0
way/1024796519,5.21,0
way/1024796520,5.21,0
way/1024796521,5.21,0
way/1024796523,5.21,0
way/1024796526,36.58,1
way/1024796528,6.1,0
way/1024796529,35.36,1
way/1024796530,43.3,1
way/1024796531,43.3,1
way/1024796532,38.72,1
way/1038595629,95.03,1
way/1038928900,5.21,0
way/1038928901,5.21,0
way/1039076875,75.58,1
way/1041338049,49.25,1
way/1041439024,5.21,0
way/1054721874,74.18,1
way/1054721875,72.81,1
way/1070137324,26.23,0
way/1071899994,38.02,1
way/1088731462,86.61,1
way/1090679517,43.3,1
way/1101700465,47.94,1
way/1105224532,5.21,0
way/1111679623,5.21,0
way/1111679624,5.21,0
way/1117743812,5.21,0
way/1118012912,24.16,0
way/1118012913,21.88,0
way/1120259397,5.21,0
way/1124976974,66.05,1
way/1125145370,31.76,0
way/1125145372,47.94,1
way/1133073673,38.02,1
way/1133073674,22.64,0
way/1133073675,5.21,0
way/1133073676,5.21,0
way/1133094844,45.04,1
way/1133094845,51.86,1
way/1133094846,39.33,1
way/1133623075,5.21,0
way/1133623076,12.48,0
way/1133623077,31.89,0
way/1133623078,27.57,0
way/1133623079,34.16,0
way/1133623080,34.16,0
way/1133623081,34.16,0
way/1133623082,37.51,1
way/1133773953,5.21,0
way/1133773954,5.21,0
way/1133773955,5.21,0
way/1133773956,5.21,0
way/1133773957,32.24,0
way/1133773958,5.21,0
way/1133773959,5.21,0
way/1133805916,5.21,0
way/1133805917,5.21,0
way/1133805918,32.24,0
way/1133805919,5.21,0
way/1133805920,5.21,0
way/1133805921,32.0,0
way/1134090039,5.21,0
way/1134103725,5.21,0
way/1134103726,5.21,0
way/1134409399,5.21,0
way/1134698727,55.89,1
way/1134700732,51.18,1
way/1134702964,29.84,0
way/1134702965,5.21,0
way/1134702966,24.31,0
way/1134706100,5.21,0
way/1134706101,29.84,0
way/1134706102,5.21,0
way/1134753279,43.37,1
way/1134753280,25.64,0
way/1134753281,25.64,0
way/1134753282,41.37,1
way/1134753283,33.92,0
way/1134753285,49.94,1
way/1134775131,21.88,0
way/1134862211,30.32,0
way/1134862212,20.99,0
way/1134862213,5.21,0
way/1134883576,28.66,0
way/1134917085,5.21,0
way/1134920397,5.21,0
way/1134920398,21.88,0
way/1134920399,5.21,0
way/1134920400,5.21,0
way/1134920401,5.21,0
way/1134920402,5.21,0
way/1134920403,5.21,0
way/1134920404,5.21,0
way/1135116793,24.31,0
way/1135116794,27.57,0
way/1135126725,55.89,1
way/1135130867,22.64,0
way/1135130868,5.21,0
way/1135130869,6.92,0
way/1135130870,37.51,1
way/1135139792,5.21,0
way/1135139793,5.21,0
way/1135139794,5.21,0
way/1135139795,5.21,0
way/1135139796,22.64,0
way/1135139797,5.21,0
way/1135139798,5.21,0
way/1135139799,22.64,0
way/1135139800,20.58,0
way/1135139802,5.21,0
way/1135139803,21.88,0
way/1135139804,21.88,0
way/1135139805,21.88,0
way/1135139806,5.21,0
way/1135139807,11.48,0
way/1135139808,21.88,0
way/1135139809,5.21,0
way/1135140245,5.21,0
way/1135140246,5.21,0
way/1135608706,50.18,1
way/1135615390,74.89,1
way/1135617344,64.79,1
way/1135617345,64.79,1
way/1135624341,38.37,1
way/1135624342,41.37,1
way/1135627820,64.79,1
way/1135638795,6.92,0
way/1135638796,6.92,0
way/1135643962,5.21,0
way/1135659899,5.21,0
way/1135659900,32.24,0
way/1135659901,5.21,0
